Colors,Description,Flowers,Image,Misc items,Name,Type,Used
"Ivory , Ivory , Soft Yellow , Cream , Green , Natural Green",florals and greenery ,,s3.amazonaws.com/appforest_uf/f1665637430858x924078159892580000/image.jpg,,Fountain Flowers,Short Arrangement,1.0
"Ivory , Ivory , Champagne , White , Blush pink , Blush , Blush , Blush ",White flowers with blush florals with greenery touches delphinium with tall clear vase ,,s3.amazonaws.com/appforest_uf/f1666120603977x541629335801686140/image.jpg,,Tall Centerpiece ,Tall Arrangement,5.0
,,,s3.amazonaws.com/appforest_uf/f1666297737318x713420749239152000/image.jpg,,,,0.0
"White , Christmas Red",white flowers and red flowers neck garland,,s3.amazonaws.com/appforest_uf/f1666297851649x821090680464184200/image.jpg,,White Flowers And Red Flowers Garland,Garland,1.0
"Blush Pink 2 , Pink peach , Coral , Raspberry Pink ","Bright colorful bouquet with dahlias, ranunculus, peonies, roses, berries",,s3.amazonaws.com/appforest_uf/f1666640926456x956645513559806000/image.jpg,,CASCADING BRIGHT,Bridal Bouquet,2.0
"Ivory , Peach , Blush , Peach , Raspberry Pink  , Coral",Wooden arch 8 ft tall and 8 ft wide with florals and greenery hanging in the middle  and both side covered with florals ,,s3.amazonaws.com/appforest_uf/f1666669286159x106374345457977740/image.jpg,,Wooden Arch With Middle Part Covered ,Arch,2.0
,"Just the base, without the outgoing stems",,s3.amazonaws.com/appforest_uf/f1666850777092x338904984246669800/Untitled.png,,,Bridesmaids Bouquet,0.0
,,,s3.amazonaws.com/appforest_uf/f1666850934746x606466841706271500/Screen%20Shot%202022-10-26%20at%2011.07.51%20PM.png,,,Bridal Bouquet,0.0
,,,s3.amazonaws.com/appforest_uf/f1666851132624x982401472930485100/Screen%20Shot%202022-10-26%20at%2011.10.30%20PM.png,,,Arch,0.0
"Peach , Dusty Blue  , Blush ","White flowers, dusty blue. tulips, roses, spray roses, ranunculus, delphinium ",,s3.amazonaws.com/appforest_uf/f1666903716064x862565692356871200/image.jpg,,Wild And Romantic Bridal ,Bridal Bouquet,27.0
,,,"s3.amazonaws.com/appforest_uf/f1666905371507x593530599341574900/image.jpg , //s3.amazonaws.com/appforest_uf/f1666905413744x461167043780379200/image.jpg",,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1666905457457x637217363639508600/image.jpg,,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1666905474611x799173827005482200/image.jpg,,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1666906037360x115728869045991000/image.jpg,,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1666906063001x865747738160904600/image.jpg,,,,0.0
,"Mix of white Peonies, Garden Roses, and Ranunculus. No greenery.",,s3.amazonaws.com/appforest_uf/f1666907068980x670393243060785000/Bridal%20Bouquet.webp,,White Round Bouquet,Bridal Bouquet,0.0
,Light Pink Roses and Anemones. No greenery.,,,,Round Light Pink Bouquet,Bridesmaids Bouquet,0.0
,Light pink roses and ranunculus. No greenery.,,,,Light Pink Small Bouquet,Bridesmaids Bouquet,0.0
,Light pink and white flower arrangement inside the basket,,,,Flower Girl Small Basket,Kids Arrangement,0.0
,Array of the flower scheme surrounding the candlelabra ,,s3.amazonaws.com/appforest_uf/f1666909657911x385336297803099840/IMG_1567.jpg,,Centerpiece,Short Arrangement,0.0
,,,"s3.amazonaws.com/appforest_uf/f1666914842673x908179460409421800/image.jpg , //s3.amazonaws.com/appforest_uf/f1666914861854x563222681557760100/image.jpg",,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1666914943432x403454834147396030/image.jpg,,,,0.0
,,,s3.amazonaws.com/appforest_uf/f1666914984811x758802048324182000/image.jpg,,,,0.0
"Blush , Pink , Pale Pink , Bright blush pink",Pink bridesmaids bouquet,,s3.amazonaws.com/appforest_uf/f1666915061334x501333391963303200/image.jpg,,Bridesmaids Bouquet Idea Without Vase,Bridesmaids Bouquet,0.0
"Blush Pink 2 , Pink peach","cylinder to cover the candle, candle holder and pastel candle ",,s3.amazonaws.com/appforest_uf/f1666915154679x765124121882673000/image.jpg,,Pastel Tapered Candles ,Short Arrangement,1.0
"Peach , Pale apricot , Pale Pink",colorful flowers in ceramic vase,,s3.amazonaws.com/appforest_uf/f1666915239952x841679917950263400/image.jpg,,Ikebana Style Centerpiece ,Short Arrangement,1.0
"Ivory , Cream , Peach , Green",flowers with ceramic ,,s3.amazonaws.com/appforest_uf/f1666915508715x716535264684689700/image.jpg,,Ceramic Vase With Centerpiece ,Short Arrangement,1.0
,Light pink roses and ranunculus. No greenery.,,,,Light Pink Small Bouquet,Bridesmaids Bouquet,1.0
"Blush , Pink , Baby pink , Pale Pink",Array of the flower scheme surrounding the candlelabra ,,s3.amazonaws.com/appforest_uf/f1666909657911x385336297803099840/IMG_1567.jpg,,Centerpiece,Short Arrangement,0.0
"White , Ivory , White , Ivory",Cascading florals from the bar ,,s3.amazonaws.com/appforest_uf/f1666976194102x476412937991453700/image.jpg,,Bar Centerpiece With Flowers Cascade ,Elevated,6.0
White,"Tall 32 inches vase with flowers on top - hydrangeas, roses, orchids, no greenery white florals only. ",,s3.amazonaws.com/appforest_uf/f1666977101174x590558589535436200/image.jpg,,White Elegance Centerpiece ,Tall Arrangement,3.0
"Ivory , Blush , Pink , Pale Pink , Pink peach",Flowers and greenery centerpiece with hanging clear globes ,,s3.amazonaws.com/appforest_uf/f1666980724536x881080557637213200/image.jpg,,Tall Centerpiece With Hanging Candles ,Tall Arrangement,2.0
,"With slightly more florals, whites, pops of pink and greenery. Mix of round and rectangle tables would like something like this on the rounds.",,s3.amazonaws.com/appforest_uf/f1667103174445x651537628665342500/IMG_1886.jpeg,,"Lanterns, candles, florals, greenery",Short Arrangement on rounds,0.0
,"Something like this for the rectangle tables, with gold tea lights - using gold as accent color. Small amounts of white florals with pops of pink",,s3.amazonaws.com/appforest_uf/f1667103256423x669457670770936300/IMG_1887.jpeg,,"Greenery, floral, runner",Short Arrangement/Garland,0.0
,,,s3.amazonaws.com/appforest_uf/f1667332581981x172843188450277900/image.jpg,,Greenery Only Chandelier ,Elevated,9.0
"White , Green , Natural Green","With slightly more florals, whites, pops of pink and greenery. ",,s3.amazonaws.com/appforest_uf/f1667103174445x651537628665342500/IMG_1886.jpeg,,"Lanterns, Candles, Florals, Greenery",Short Arrangement,0.0
"Ivory , White , White , Ivory , Pale green , Green",Flowers and greenery mandap with fabric,,s3.amazonaws.com/appforest_uf/f1667340947378x762913731536336500/image.jpg,,Wooden Mandap With Fabric And Flowers,Arch,2.0
"Champagne , Peach , Blush , Cream",flower strings different length for inside of the mandap ,,s3.amazonaws.com/appforest_uf/f1667341051510x794363028647210100/image.jpg,,Flower Strings ,Arch,1.0
"Ivory , Cream , beige",Pampas grass with roses semi circle ,,s3.amazonaws.com/appforest_uf/f1667341234639x332033703431071900/image.jpg,,Pampas Grass Semi Circle ,Arch,0.0
"White , White , Green , Pale green , Natural Green","Greenery with white flowers top corner with side corners white roses, white hydrangeas, lisianthus ",,s3.amazonaws.com/appforest_uf/f1667434357932x155696244413096480/image.jpg,,Seating Chart Arrangement Corner With Bottom Sides Decor ,Welcome sign,11.0
,I love this and think I just want a small version for the bridal party! ,,s3.amazonaws.com/appforest_uf/f1667492800847x893991970398329000/flowers1.JPG,,Bridesmaid Bouquets,Bridesmaids Bouquet,0.0
,"Sorry, a bit blurry but again, similar colors and I love the ranunculus for the bout! ",,s3.amazonaws.com/appforest_uf/f1667492946021x977068614273276800/bout.JPG,,Bout. Inspo ,Boutonnieres,0.0
,Nothing super fancy but tall enough to be pillars with lots of color! ,,s3.amazonaws.com/appforest_uf/f1667493009247x601996829653128600/arch1.JPG,,Ceremony Inspo,Arch,0.0
,"I like a mix of something like this OR the bud vases- I'm torn on what I want to do but I do like a mix of height + textures. Something like this could be in rectangular pots or as more of a 'garland' runner based on what you think makes the most sense! 

Our linens will either be blue (like the photo) or we will have wood rectangular tables (still TBD) but I would like to still incorporate blue into all the flower arrangements! 

",,s3.amazonaws.com/appforest_uf/f1667493179144x917987666513805300/centerpieces.JPG,,Table Decor Inspo,Short Arrangement,0.0
,I will likely have my cake either a lower table or just a highboy but I want to do something like this with flowers all around the cake -- probably just a semi-circle so that I can still cut the cake from behind (if that makes sense! Our cake will be simple so lot's of color around it for an awesome display! ,,s3.amazonaws.com/appforest_uf/f1667493303816x589875166783777700/cakeflowers.JPG,,Cake Display,Wedding cake,0.0
"Peach , Cream , White , White","Wooden candle holders with flower wreath around them with peach, ivory, cream flowers and greenery accents ",,s3.amazonaws.com/appforest_uf/f1667878933143x569566698184243100/image.jpg,,Flowers And Greenery Wreath ,Short Arrangement,0.0
"Ivory , Ivory , Green",White orchids with manzanita branches and 3 pillar candles ,,s3.amazonaws.com/appforest_uf/f1667879075090x188225262827917950/image.jpg,,White Orchids With Manzanita Branches ,Short Arrangement,0.0
"Peach , Blush  , Blush Pink 2",Compote style vase with florals and greenery with touches of blue ,,s3.amazonaws.com/appforest_uf/f1667493179144x917987666513805300/centerpieces.JPG,,Bright And Colorful ,Short Arrangement,1.0
,Small version of this colorful bunch for bridesmaids ,,s3.amazonaws.com/appforest_uf/f1667492800847x893991970398329000/flowers1.JPG,,Bridesmaid Bouquets,Bridesmaids Bouquet,8.0
"Pink , Baby pink , Blush Pink 2",bright colorful ranunculus  ,,s3.amazonaws.com/appforest_uf/f1667492946021x977068614273276800/bout.JPG,,Bright And Colorful ,Boutonnieres,22.0
"Peach , Blush pink , Pale apricot , Pink , Sage green , Sage",freestanding arch with colorful florals and natural elements ,,s3.amazonaws.com/appforest_uf/f1667493009247x601996829653128600/arch1.JPG,,Ceremony Inspo,Arch,1.0
"Baby pink , Bright blush pink , Blush , Green , Pale green",colorful display for the cake table around the cake ,,s3.amazonaws.com/appforest_uf/f1667493303816x589875166783777700/cakeflowers.JPG,,Cake Display,Wedding cake,0.0
,,,s3.amazonaws.com/appforest_uf/f1668618551655x819865895615397900/Arch.png,,,Arch,0.0
,,,s3.amazonaws.com/appforest_uf/f1668618597402x406155887672057900/low%20centerpiece.png,,,Short Arrangement,0.0
,,,s3.amazonaws.com/appforest_uf/f1668618772971x462621185295510200/longtable3.png,,,Short Arrangement,0.0
"Blush , Blush pink , Peach , White","    Freestanding arch with white hydrangeas, white delphinium, white roses, cream dahlias, touches blush roses, touches of peach. Hanging candles from the arch. 
",,s3.amazonaws.com/appforest_uf/f1668652052856x451607276313166900/image.jpg,,Freestanding Arch With Mostly White Florals With Touches Of Cream Peach And Blush Colors ,Arch,5.0
"Ivory , Cream , Ivory , Blush  , Blush","Cream, dahlias, cream garden roses, white majolica roses, quicksand roses, white ranunculus,  cream astilbe touch of peach dahlias. ",,s3.amazonaws.com/appforest_uf/f1668652360691x546112259816881300/image.jpg,,Cream And Peach ,Short Arrangement,10.0
"Champagne , Cream , Blush","8 ft floral runner with peach, blush and white flowers and greenery ",,s3.amazonaws.com/appforest_uf/f1668653314216x535200085386467300/image.jpg,,"8 Ft Floral Runner With Peach, Blush And",Short Arrangement,5.0
Ivory,ivory tapered candle with candle holder and hurricane ,,s3.amazonaws.com/appforest_uf/f1668656899436x367223954811252350/image.jpg,,Ivory Tapered Candle ,Short Arrangement,1.0
"Ivory , beige",bud vases with different types of flowers ,,s3.amazonaws.com/appforest_uf/f1668715345119x938386760335813800/image.jpg,,Escort Table Budvases ,Cocktail table,2.0
"Ivory , Ivory , Blush , Blush pink , Green , Pale Pink","Small vasel with blush, cream and ivory florals with greenery elements ",,s3.amazonaws.com/appforest_uf/f1668715901082x719973165088867440/image.jpg,,Vase Of Florals For Guestbook ,Welcome sign,2.0
"Ivory , Peach , Sage green , Sage",White flowers with orange and rust accents boho elements ,,s3.amazonaws.com/appforest_uf/f1668717340018x152774224894536060/image.jpg,,2 Centerpieces For Hexagon Arch ,Arch,1.0
"White , Emerald green",Aisle Flowers to cover 20 ft of  aisle on both sides with solid white roses and greenery runners ,,s3.amazonaws.com/appforest_uf/f1669060845409x525949810600004900/image.jpg,,Aisle Flowers To Cover 20 Ft On Both Sides,Aisle,0.0
"Ivory , Natural Green","Entrance to the ceremony florals with 2 Vassels with white columns with white flowers : hydrangeas, roses, garden roses, touches of greenery. ",,s3.amazonaws.com/appforest_uf/f1669067845353x270463865606332960/image.jpg,,2 White Flowers Centerpieces With Columns ,Aisle,3.0
White,"WHITE ROSES, WHITE HYDRANGEAS ORCHIDS 36 INCHES TALL VASE CAN BE GOLD OR CLEAR ",,s3.amazonaws.com/appforest_uf/f1669068466761x862808106701011600/image.jpg,,White Flowers With Touches Of Greenery Tall Centerpieces ,Tall Arrangement,2.0
"White , White , Green", White flowers with greenery with Clear candelabra with candles ,,s3.amazonaws.com/appforest_uf/f1669071630909x781336229400721300/image.jpg,,Clear Candelabra With Flowers ,Tall Arrangement,2.0
"Ivory , Green , Natural Green",8 ft long flower bridge with hanging candles ,,s3.amazonaws.com/appforest_uf/f1669071911727x912220593864119200/image.jpg,,8 Ft Long Flower Bridge With Hanging Candles ,Elevated,4.0
"Peach , Blush , Cream","peach, cream, touches of blush, all neutrals flowers. With greenery elements ",,s3.amazonaws.com/appforest_uf/f1669231374643x404880774064481540/image.jpg,,Half Round Arch With Florals And Greenery Throughout,Arch,5.0
,"Lings Moment-Flower Sign Decor in White & Sage
",,s3.amazonaws.com/appforest_uf/f1669610806454x890508930107659900/23657___7_1800x1800.webp,,Faux Floral Welcome Sign,Welcome sign,0.0
,"Cappucino roses, burgundy peonies, burgundy garden roses, ranunculus, butterfly ranunculus, greenery accents, spray roses  ",,s3.amazonaws.com/appforest_uf/f1669695539999x383347206433116900/image.jpg,,Bridal Bouquet Fall,Bridal Bouquet,0.0
"Wine Red , Black , Charcoal , Christmas Red , deep green , Deep Green","    Flower bench back and side florals, in plum/burgundy dark red palette. ",,s3.amazonaws.com/appforest_uf/f1669695655021x976726741021598700/image.jpg,,Flower Bench Back And Side Florals ,Elevated,0.0
"Emerald green , Dark green , Burgundy  , Wine Red","Greenery with burgundy and sand elements colors roses, dahlias, quicksand roses, scabiosa",,s3.amazonaws.com/appforest_uf/f1669911465333x280060313761761900/image.jpg,,Aisle Flowers ,Aisle,0.0
"Deep Green , chocolate , Burgundy",Smilax with Italian ruscus greenery with quicksand and burgundy elements ,,s3.amazonaws.com/appforest_uf/f1669913867235x690605252203758200/image.jpg,,Flowers By The Fountain ,Elevated,4.0
"chocolate , Mauve , Charcoal , deep green","Burgundy dahlias, quicksand roses, baby eucalyptus",,s3.amazonaws.com/appforest_uf/f1669914187723x845457901274987400/image.jpg,,Burgundy And Rustic Centerpiece ,Sweetheart Table,4.0
"Deep Green , Emerald Green , chocolate , Burgundy , Wine Red",Burgundy and charcoal elements,,s3.amazonaws.com/appforest_uf/f1669914395007x660936176699054200/image.jpg,, moody Centerpiece ,Short Arrangement,0.0
,Aisle florals with white columns and white florals with greenery ,,s3.amazonaws.com/appforest_uf/f1669915195426x156538343336252160/image.jpg,,2 White Columns With White Florals On Top ,Aisle,24.0
White,Babies breath with stephanotis elements. ,,s3.amazonaws.com/appforest_uf/f1670271590670x453187436817944960/image.jpg,,Detailed Corsage ,Corsage,14.0
"Green , deep green , White","White anemones, Peonies, Ranunculus, roses, greenery elements. ",,s3.amazonaws.com/appforest_uf/f1670271893535x337682403523515300/image.jpg,,White Bridal Bouquet With Anemones ,Bridal Bouquet,2.0
"Cream , Blush , Blush pink","Peach roses, Spray roses, Ranunculus, Dahlias, Delphinium, Greenery Elements. ",,s3.amazonaws.com/appforest_uf/f1670365983333x204080328706581300/image.jpg,,Cascading Style Bouquet ,Bridal Bouquet,1.0
"Peach , Blush , Blush  , Natural Green , Green",Floral arch with roses in peach and blush colors with greenery elements ,,s3.amazonaws.com/appforest_uf/f1670367025782x943696307925079900/image.jpg,,Floral Arch With 2 Free Standing Pieces,Arch,7.0
"Ivory , Green",Lilly of the valley Bridal Bouquet with long stems ,,s3.amazonaws.com/appforest_uf/f1670884104226x882722082466717400/image.jpg,,Lily Of The Valley Bridal ,Bridal Bouquet,1.0
"Peach , Pale apricot , beige , Blush , Green","Butterfly ranunculus, ranunculus, peach ranunculus, garden rose, greenery elemetnts, lusianthus ",,s3.amazonaws.com/appforest_uf/f1670884255533x190656258496193730/image.jpg,,Wild And Whimsy Bouquet ,Bridesmaids Bouquet,4.0
"Ivory , Ivory",Loose blooms stems 30 ft both sides ,,s3.amazonaws.com/appforest_uf/f1670884424044x166230099992307650/image.jpg,,Walkway To The Cocktail Hour ,Aisle,1.0
"Peach , Blush , dusty pink  , Sage",10nMini arrangements scattered on 8 ft table with 4 Tapered ivory candles ,,s3.amazonaws.com/appforest_uf/f1670884505308x782816803559731600/image.jpg,,Garland ,Garland,1.0
"Blush , Pale Pink , Pink peach , Ivory , White , Sage green",Wild whimsy garden style bouquet ,,s3.amazonaws.com/appforest_uf/f1670968186796x683787738991476100/image.jpg,,Double Sided Flower Arrangement ,Short Arrangement,3.0
"Blush pink , Blush , Pale Pink , Sage",32 ft garland with Florals and greenery with added mauve elements in peach and blush theme with sage greenery elements,,s3.amazonaws.com/appforest_uf/f1670968380243x233798248733849020/image.jpg,,Floral Garland For The Head Table ,Garland,3.0
"beige , Peach , Blush pink","   Arch with florals with florals and with whimsy greenery with blush garden roses, butterfly ranunculus, spray roses, smilax greenery overflowing ",,s3.amazonaws.com/appforest_uf/f1670968879352x806980261075732200/image.jpg,,Wild Garden Look Arch,Arch,4.0
"Ivory , Champagne , Blush , Pale apricot","Ranunculus, Butterfly ranunculus, Tulips, Garden Roses, Sweet peas elements, lusianthus. ",,s3.amazonaws.com/appforest_uf/f1670969517959x125368283684928800/image.jpg,,Cement Low Vase With Flowers ,Short Arrangement,1.0
"Peach , Cream","Floral Arch with greenery and flowers, With butterfly ranunculus, Ranunculus, greenery, garden roses, Sage greenery for texture. Spray roses for texture ",,s3.amazonaws.com/appforest_uf/f1671048753986x350455485004551600/image.jpg,,Wild Arch With Florals Over Flawing ,Sweetheart Table,1.0
"Ivory , Ivory , Blush , Blush pink",Tall Floral arrangements for the atrar,,s3.amazonaws.com/appforest_uf/f1671049114154x736402178065455100/image.jpg,,Ceremony Flower Urns Tall ,Church,6.0
"White , White","Babies Breath with Roses, clear Vase",,s3.amazonaws.com/appforest_uf/f1671487499319x134027563546229140/image.jpg,,Tall Babies Breath With Roses Centerpiece,Tall Arrangement,7.0
"Ivory , Ivory , White",Long Garland to drape from the table to the floor with babies breath and roses ,,s3.amazonaws.com/appforest_uf/f1671487597508x401506443931987500/image.jpg,,Babies Breath With Roses Full Length,Sweetheart Table,5.0
"Cream , Blush  , Natural Green , Green","Bridal cascading Style Bouquet with ranunculus, garden roses, phialanopsis orchids, touches of white florals in blush and peach pallete. 
",,s3.amazonaws.com/appforest_uf/f1671488217603x274334518385565660/image.jpg,,Cascading Style Bouquet ,Bridal Bouquet,3.0
"Soft Yellow , Oatmeal , Peach","Cake wreath florals with greenery wild flowers with whites, peaches and corals ",,s3.amazonaws.com/appforest_uf/f1671488359367x924656430303729800/image.jpg,,Cake Flowers ,Wedding cake,0.0
"Ivory , Ivory , Cream , Blush , Peach","Short Centerpiece With wild florals with coral peach whites with ranunculus, roses, wild flowers, cosmos, peach roses, greenery ",,s3.amazonaws.com/appforest_uf/f1671488440949x790509928811004000/image.jpg,,Corals With Peach Centerpieces ,Short Arrangement,0.0
,,,,,Danielle,Bridal Bouquet,0.0
,,,,,,Kids Arrangement,0.0
,,,,,,Cocktail table,0.0
"Ivory , beige , Peach , Cream , Ivory"," Toffee roses, phialanopsis orchids, dried fern, amaranthus",,s3.amazonaws.com/appforest_uf/f1672337389372x764438618182593000/image.jpg,,Boho Bridal Bouquet ,Bridal Bouquet,0.0
"White , Ivory , beige , Peach , Cream",Florals with greenery and roses. 3 Arrangements ,,s3.amazonaws.com/appforest_uf/f1672353744081x125138721625154270/image.jpg,,Floral Arrangements For Chuppah ,Arch,0.0
"Peach , Light Beige , cappucino , Pale apricot , Peach , Pale Pink","Ranunculus, garden roses, dahlias, greenery, spray roses, touches of rust roses accents. 

",,s3.amazonaws.com/appforest_uf/f1672860688928x698459609039465900/image.jpg,,Muted Oranges Bridal Bouquet,Bridal Bouquet,1.0
"beige , Ivory , Pink peach , Orange","Short centerpiece with ranunculus, garden roses, with dahlias, greenery accents, scabiosa, peony, spray 🌹 ",,s3.amazonaws.com/appforest_uf/f1672860940516x890169330135399200/image.jpg,,Rust Centerpiece ,Short Arrangement,8.0
"Ivory , Ivory , beige , cappucino , Terracota , Orange","ranunculus, roses, greenery, ",,s3.amazonaws.com/appforest_uf/f1672861440707x245132525033726180/image.jpg,,Bud Vases Centerpieces In Rust And Orange Color Pallette,Short Arrangement,9.0
"Peach , Blush pink , cappucino , Pale apricot , Light Beige , Blush ","Ceremony Semi Circle with delphinium, greenery with peach, orange and terracotta a florals with rust colored roses details. ",,s3.amazonaws.com/appforest_uf/f1672861663073x371691037145575500/image.jpg,,Flower Semi Circle ,Arch,5.0
,flat on the table with babies bread and some white flowers (possibly roses) with candles. ,,s3.amazonaws.com/appforest_uf/f1672961844289x543296058318359500/43c2b1e29cd2b5458ad510e937abcb82.jpg,,Babies Breath and Candles,Short Arrangement,0.0
,Cascading white tulips and white roses. I would some greenery but not the ivy from the picture. Some hints of blue would be nice ,,s3.amazonaws.com/appforest_uf/f1672962501263x884355345885365900/0e21f6b1872e6924c0dd8f32146e232f.jpg,,Cascading Tulips and Roses,Bridal Bouquet,0.0
,I want white tulips and white spray roses with some greenery and babies breath. I would love a hint of blues as well!,,s3.amazonaws.com/appforest_uf/f1672969452090x934823969512157600/bouquet_2.jpeg,,Cascade tulips and roses,Bridal Bouquet,0.0
,lanterns with candles surrounded by babies breath rose petals and greenery. like the picture but more full with the babies breath ,,s3.amazonaws.com/appforest_uf/f1672970184579x616787848988943400/aisle%20.jpeg,,Lanterns and Babies breath ,Aisle,0.0
,"flat on the table with babies breath, spray roses, and candles. ",,s3.amazonaws.com/appforest_uf/f1672970482279x239759012066099070/tables_1.jpeg,,Babies breath and spray roses,Short Arrangement,0.0
"Ivory , Ivory , Champagne , Cream , beige",2 columns with cement vases with florals on top ,,s3.amazonaws.com/appforest_uf/f1673034726688x494351754453273150/image.jpg,,Vases With Flowers And Columns For The Alter,Arch,1.0
"White , Ivory",White flowers greenery arch with flowers and greenery. ,,s3.amazonaws.com/appforest_uf/f1673814764989x785921741571729400/image.jpg,,3 Post Arch Decorated Fully With Flowers ,Arch,3.0
"White , White , Green , Pale green",White florals and greenery arch. ,,s3.amazonaws.com/appforest_uf/f1673814907932x363957042511130940/image.jpg,,Half Round Arch With Florals And Greenery ,Arch,0.0
"Ivory , Ivory , Champagne",2 cement columns 20 inch. height with 2 floral arrangements on them ,,s3.amazonaws.com/appforest_uf/f1674333686879x748052831139278000/image.jpg,,2 Cement Columns With 2 Florals On Them ,Arch,0.0
,Smaller version of brides with all white long stem roses,,s3.amazonaws.com/appforest_uf/f1674413888338x548086623434445500/36B1FA9A-5196-48C7-9970-62924509809F.jpeg,,White roses,Bridesmaids Bouquet,0.0
,,,s3.amazonaws.com/appforest_uf/f1674414237996x830903258824578800/094A1195-FAF7-4937-B72E-03BE1D1AF558.jpeg,,Groom,Boutonnieres,0.0
,,,s3.amazonaws.com/appforest_uf/f1674414265839x381529595571105800/1DF87DC0-09D6-43FB-847C-B87933EC1859.jpeg,,Groomsmen,Boutonnieres,0.0
,,,s3.amazonaws.com/appforest_uf/f1674414313055x593291779987740700/3F394F99-B50B-49DD-ACF6-363009B1C52C.jpeg,,,Boutonnieres,0.0
,,,s3.amazonaws.com/appforest_uf/f1674414337104x595558211020059300/8087867C-8933-40D0-92D9-E6E7C8D70F87.jpeg,,,Boutonnieres,0.0
,,,s3.amazonaws.com/appforest_uf/f1674414394969x897259190701630500/50771CDF-6F39-4027-B098-3946BBE9B6E7.jpeg,,Bride,Bridal Bouquet,0.0
,White long stem roses lining each side of the aisle ,,s3.amazonaws.com/appforest_uf/f1674414513902x620815971110570200/70554535-0EBF-4262-9FFA-13883AF5A842.jpeg,,Aisle Florals,Aisle,0.0
,"Simple white roses with black accents ( vases, candles , etc)",,s3.amazonaws.com/appforest_uf/f1674414768686x953804718183809400/E331C686-3B1C-4040-9EE6-1B46B528CAE1.jpeg,,,Short Arrangement,0.0
,,,s3.amazonaws.com/appforest_uf/f1674415433896x464595146036048600/E5BF533D-B34D-4E59-A8B8-82C4614F94DA.jpeg,,,Short Arrangement,0.0
,,,s3.amazonaws.com/appforest_uf/f1674415515914x921930105327000800/C2CC232F-0362-4CDC-AD1E-EE603C262AE5.jpeg,,,Short Arrangement,0.0
,,,s3.amazonaws.com/appforest_uf/f1674415920136x848125258104138100/FBEADB67-8404-4212-BDB1-279C6CA127B7.jpeg,,,Bridesmaids Bouquet,0.0
"White , White",Smaller version of brides with all white long stem roses,,s3.amazonaws.com/appforest_uf/f1674413888338x548086623434445500/36B1FA9A-5196-48C7-9970-62924509809F.jpeg,,White Roses Bouquet ,Bridesmaids Bouquet,2.0
"White , White",Long stem white roses bouquet ,,s3.amazonaws.com/appforest_uf/f1674414394969x897259190701630500/50771CDF-6F39-4027-B098-3946BBE9B6E7.jpeg,,Bridal Bouquet ,Bridal Bouquet,2.0
"White , White",White roses boutonniere ,,s3.amazonaws.com/appforest_uf/f1674414237996x830903258824578800/094A1195-FAF7-4937-B72E-03BE1D1AF558.jpeg,,Groom,Boutonnieres,18.0
"Ivory , White",White long stem roses lining each side of the aisle 20 ft both sides ,,s3.amazonaws.com/appforest_uf/f1674414513902x620815971110570200/70554535-0EBF-4262-9FFA-13883AF5A842.jpeg,,Aisle Florals,Aisle,6.0
"White , White , Black",3 Black mini tube vase with white rose and 3 black tappered candles around ,,s3.amazonaws.com/appforest_uf/f1674505429194x285954527294671520/image.jpg,,Single Stem Roses With Black Accents ,Short Arrangement,2.0
"White , White , Ivory",8 ft flowers garland. with 15 white stem roses in black tube vases with 15 clear votive candles ,,s3.amazonaws.com/appforest_uf/f1674506384762x220099905451583100/image.jpg,,White And Black Flower Garlands ,Garland,3.0
"White , White","4 different shape vases with 4 types of flowers: Ranunculus, sweet peas, roses, tulips with 4 tapered black candles ",,s3.amazonaws.com/appforest_uf/f1674506860702x891203136067504400/image.jpg,,White And Black Centerpiece ,Short Arrangement,1.0
"White , White","Roses, babies breath, dogwood",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1684270787767x708420565499587800/image.jpg,,Freestanding Arch With Babies Breath And Roses ,Arch,6.0
White,Clouds of babies breath with roses ,,s3.amazonaws.com/appforest_uf/f1677384860332x621907347262579600/image.jpg,,Babies Breath And Roses Clouds,Short Arrangement,1.0
,,,s3.amazonaws.com/appforest_uf/f1677437188715x533946978004634600/image.jpg,,,,0.0
"Ivory , White , Blush",White and blush flowers with golden candelabra,,s3.amazonaws.com/appforest_uf/f1677437293481x593634655633240600/image.jpg,,Gold Candelabras With Flowers ,Tall Arrangement,5.0
"White , White","White flowers with ranunculus, roses, orchids, babies breath garden roses",,s3.amazonaws.com/appforest_uf/f1677438527925x305987213170705540/image.jpg,,White Floral Arrangement ,Short Arrangement,2.0
"White , deep green","White roses, spray roses, greenery elements, ranunculus, babies breath touches ",,s3.amazonaws.com/appforest_uf/f1677438973621x411280039613666240/image.jpg,,White Roses With Greenery Cake ,Wedding cake,0.0
"White , Black , Green",Metal Lantern with orchids and florals top. Hydrangeas with orchids and greenery. ,,s3.amazonaws.com/appforest_uf/f1677995829368x367924926821524540/image.jpg,,Lanterns With Florals ,Aisle,0.0
"Ivory , Ivory , White",White Orchids with curly willow stems ,,s3.amazonaws.com/appforest_uf/f1677995975955x749431111633470500/image.jpg,,White Orchids With Curly Willow Stems ,Tall Arrangement,1.0
